id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Autumn;Reichel;Miller.Gerlach@gmail.com;dental;2025-01-02T12:04:41;8835;2884
2;Gayle;MacGyver;Julien_Leannon10@hotmail.com;after gosh;2025-01-02T04:55:20;21918;26474
3;Sister;Rohan;Flo_Nicolas@gmail.com;notwithstanding youthfully who;2025-01-02T13:27:17;32520;31740
4;Angelo;Jerde;John_Donnelly@yahoo.com;which plump;2025-01-02T02:48:44;12280;13213
5;Quincy;Jerde;Houston_Pollich82@gmail.com;minor entrench;2025-01-02T18:51:49;1354;28834
6;Unique;Schmeler;Constance_Conn@yahoo.com;sanity soulful;2025-01-02T02:43:58;16676;24485
7;Alexandrine;Ziemann;Miguel.Hane74@gmail.com;probate;2025-01-02T17:54:52;26923;28659
8;Mozell;Fisher;Dimitri7@gmail.com;silky perfection viciously;2025-01-02T08:18:37;25965;6289
9;Darren;Grimes;Jarrett12@gmail.com;ack;2025-01-02T16:18:49;4535;25630
10;Colten;Becker;Nathen.Champlin98@gmail.com;now;2025-01-02T18:49:03;18098;28037
