id;street_address;postal_code;city;state_province
1;among given ugh;above enchanting;West Viva;afore
2;greedily now;dreamily mmm whoa;East Stephanie;owlishly
3;concerning by scarily;boiling;Destinyborough;zebra whose
4;inside;circa huzzah hm;North Calihaven;pale morbidity brook
5;scary abaft;till;East Noemieboro;stained rarely
6;quarrel to as;minority convoke peppery;East Enola;yet
7;daintily;dwell;West Isaiview;adviser anxiously even
8;but against where;entrench outside ack;New Gillianfield;trench
9;through;beside absent perfectly;Salmahaven;as spiteful
10;since flint;represent motionless;Doral;glossy gah bah
